label,probability,truth,input
3,0.992668,3,the in of of 3 how of could mln at against 2 of vs end products opec he will will of results and of exports 3 of each it of profit 3 of profit agreement in around corp should for 3 of mln in ended said of a 54 but 3 of a only of political of date other under well a in british rate gain if demand at an div its taking report of systems were is and production had vs 000 7 issued year for 0 a in buffer rate loss may results tariffs dlrs is and from 39 s 000 for 3 of pre 50 east that in of products opec last 1 fall change 1 approval in 15 2 said in opec 28 but for 3 of cts systems which is half be 6 of of said president amount pct dlrs
10,0.947941,10,the of both their a in after london adjusted 2 contracts 54 as sales agriculture with from were vs been prices its for of from dlrs vs been are 2 both of firms of i of of mln of week operating for of 28 in record of spending shr of around five farmers in but 18 66 5 efforts of will of net mln with deal from billion vs been said in after london adjusted 5 will of it take supplies of mln 9 of on been 5 will agriculture of it in has would both administration without on been it of figures 3 total on been 5 will 75 that in into shares net mln january in three subject for system of of of and of of in of 5 higher prices producers without on been 57 of in executive in three it at china of as sales of paris said in of last told showed 1 and 48 deficit be what of mln of over qtr prices today is said of of in one news possible be 9 1988 vs of of mln against while of of oil of and extraordinary investor of january in of u subject in of of 5 plc a of it 9 before on produced increasing of acquired of period said 150 be of into both per 3 for of take when their north agriculture it in 15 pay a after london share sales of and export of of his economists in export 5 of of of in market soybean of more in march of net mln last 25 cts of 50 balance it 22 north told or institute west discount offered 57 agreement fiscal china supplies subsidiary in 80 bank of of 22 term per of mln bankers both u french free of it of of april of prices its of of have 54 of mln per oil of prices between said of here in of cost and within their told or 50 of of including canada was in into shares net mln bankers 80 a in of of share of its interest of 3 of common bpd 3 of of 3 of their net mln of common through group other of u two following 88 in both when in of system unit of interest of of mln stock bank 1988 both of operations was fiscal division last stock of 90 said goods 3 of their told dutch and of are for of of of said in both when net mln of over will decision and of 3 of making it of of 7 making a of of four of yen of of usair saudi bank and of both net mln of mln in of u of it for of said in there both note shr of a of loss for while both taken told or of goods and of for market note shr 5 of into per of mln january 25 cts 50 note into per he of will of of between in who sector cts of at 80 3 of both that in money net mln record into per 52 of with 9 had ministry community april of oil of it in of de their days of its all and countries community for of january in first of of it for 14 with had ministry community his showed in subsidiary and earlier and 9 meeting community for of be in 31 said are 2 net mln of mln takeover levels for of both shares be of was into supplies of their net mln both money oil 52 prices chief of its of of 3 term of bpd of last told or 1986 of was in fourth firms net mln currency of told bank sales of of said both and in has would a of four stock of in administration ago stock yen of a can ministers cash of of u of of of of and yen take might per and all community for of its sources community in has would seven time have only of at all five after both news administration its in of and of of german slightly its of of german slightly a but of mln chief around 09 results their executive no of of oil under and of markets with deal 17 said in division of oil 1986 consider 28 in but 18 spending net mln told showed corp 7 against quarter and of of 28 in around spending pct dlrs
1,0.998784,1,the in seven of of said of purchase of he of of of per it 37 corp of bpd a of analysts for bundesbank industry mln rates of a of he will of loss he of shr 34 in purchase and first bpd a of of of of of of of of 3 of mln of of of england said rights report discontinued it in bundesbank bundesbank have of of in program when by cents notes rates purchase of making and first of bpd 5 will of that for of of noted said 17 and union year of that action in of cts of acquire u commodity and gas of term of of per it bpd revenue be term purchase per of sales here are of purchase holders it for five 3 told usair economists lending workers and growing currently a 55 a cash of pay of mln of mln bundesbank he tokyo of currently in purchase of four 3 january purchase per of january of stocks in name west between of letter term of told will loss canada stocks in name january of letter funds net mln 14 of quarter of january purchase per average of mln 50 group recently a of first ago or supply producer institute west told usair of told usair qtr recently of 3 told usair qtr recently of net mln pct dlrs
16,0.976196,4,the of of one 3 june of mln 1 approval in united said james a corp while one 3 june of and 6 second sugar there up it plans vs 000 in this mln 1 75 9 inc can said at total is tax a in of of 3 46 of of at corp them discount of 1 mln 1 making 9 production vs 000 said in of and of of that at 49 of australian of set of split that in of reserves vs 000 said australian bank sales of soviet only 200 loss for plc 1 mln in this mln in some 56 oil of and related not of said no american of 3 not nine said tax and economic 4 is its economic new is soviet only of 1 mln in of of first it from of on of u two provide and total year its from total 000 in this mln second sugar imports and 0 in days said press their with in of of port pct dlrs
13,0.992587,4,the largest coffee of of oil of 90 of of a in of stocks in of 3 of of a inc said in of of of a in of it 90 should in of world said of mln a of 3 of prices and total of oil domestic and will of a in of 3 saudi in them said in of of oil of of a of deficit and in of of of spokesman mln general of cocoa a in of of with in crop one of said of 3 of share of stock mln estimate spokesman a of of mln in of cocoa a in of oil in of it foreign should was of of for of of and overall of a in of of said in purchase said of shr of of 3 of in of cts prices and inc of of was of 3 of of 1 common efforts of of against of term of of spokesman mln estimate of change of march of 28 in of last for wheat 33 a of over of volume and for of in spokesman mln pct dlrs
3,0.992667,3,the lt all year reuter 1985 year an of on reuter of on 1987 4 of on reuter 4 of on shrs earnings billion of on reuter billion of on 2 lt of year reuter from quoted 000 an billion of on reuter billion of on 1987 demand billion vs reuter demand dlrs vs shrs earnings billion of on reuter billion of on some but rate an trading addition on end planned its of said due 12 european pct dlrs
3,0.97227,3,the of of profit mln 1 traders 15 rate now and will production and dlr is monetary in 2 unit economic were vs 000 unemployment sale and 53 days of its in dollar after ended said of up in this mln 1 as of it not respectively said 17 vs oper tonnes 3 without vs 000 said of of sale of was of and will making and of in german assets 8 next of it in of ended and terms group days said in council 3 it 24 of of of mln dlrs 27 on tonnes he will 75 a in has would 3 in of of of japan's 9 of vs 000 it of for of said order acquisition of 3 within among making a of 3 war of in this mln 1 traders and of 15 rate well a in public 30 a price of mln 1 traders wheat changes said of white of of of are 2 deficit of of of 3 in of said of of mln in changes with of of cts under and of revenues last 1986 of are 2 effective a in of 3 of of last 1 mln of with of of cts under and will of of be for 37 said of continue for of gas subsidiary said now a in fixed of of other a but 53 days said in of ended days of was of of disclosed 3 report 3 of a of and second of pct dlrs
3,0.991114,3,the lt owned year reuter demand year an trade of on reuter also of on 1987 of vs reuter of also vs shrs earnings trust which vs reuter banking vs 2 lt from of 000 reuter from standard 000 an account 4 vs reuter total 4 vs 1987 from dlrs s reuter of 4 vs shrs earnings product vs reuter growth dlrs vs some that of inc but this bill of of 3 of 3 of shareholder of 3 in of working 3 interest japan of be continue forecast central it in of five said only but of estimated now oil data be 500 year april lt 3 it in 2 be union year april lt pct dlrs
3,0.999541,3,the major lt they from distribution 000 reuter company union year major an they all new vs reuter company of on 1987 23 which vs reuter which of on 2 major lt they from paid 000 reuter company exploration year major an they also of on reuter company billion of on 1987 industrial new vs reuter economic trade vs shrs earnings had of on reuter were of on some exchange an trading 12 b said of on 000 a rate 3 billion of on 000 a 2 exchange an day of position of on end company its then report but an day of trading home 40 plans trade vs 000 its united said of tax a of of area commercial gulf pct dlrs
3,0.979248,3,the better agreements market bought up mln 1 as of at of of vs 000 said of 3 system assets decline and target that grain of of 3 by 15 rate an div he will provide be 9 500 vs 000 loss for plc target of tax split that at stability s 000 said of 3 system assets next that if dividend has would contract of issue 1986 of japanese and of of tax that decline soviet split or completed off of last better agreements mln 1 of west between said in term provision said for main of by 5 plc a of in completed announced of a in third rate said after of 50 agreed split with record tax current or holding it in of said after better agreements 35 by sold 2 an div 5 will provide be 9 foreign vs 000 better agreements mln 1 of by next raise stg target 3 at agency 8 of he special and in of said tax split in raise of a market bought that range four december 8 of of of cts under and of japanese it for completed announced of said no also 4 s 000 said assets next by of that price 1985 pct dlrs
